what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348385664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348413863
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348413871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348475674
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348475682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1394348478707
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348480876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348480890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1394348482583
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1394348488312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348494971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1394348498257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348499416
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348500611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348500618
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1394348501608
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348502780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348502788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1394348503481
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348505389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1394348506863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348524266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348524274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1394348525455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348526660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348526671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1394348529398
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1394348569078
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394348571410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1394348571414
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394348571578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348583944
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394348609289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1394348609293
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394348609397
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394348648590
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1394348648595
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1394348648881
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1394348664087
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348678895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348680216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348680574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348680767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348680947
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348682007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1394348682929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1394348782333
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1394348783363
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1394348936214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1394348958102
