what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1400373802378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400373818630
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400373822024
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400373822872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400373827053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400373865125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400373992899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400373998560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374025452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374028902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400374030290
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374053063
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374053075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400374053139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1400374069168
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400374070386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374395690
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374404144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1400374449607
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1400374452081
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374522151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400374522155
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374522309
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374541101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400374541105
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374541208
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374574332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1400374574335
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374574494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374580115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374584670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374613785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374671374
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374719316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1400374723874
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374751477
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1400374751484
